title,url,description,learning_type,duration,course_outline,target_audience
Genesys Cloud: Gamification Concepts,https://beyond.genesys.com/explore/course/genesys-cloud-gamification-concepts,,,,[],
Genesys Cloud: AI/Bots: Virtual Agent - Setup and Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-ai-bots-virtual-agent-setup-and-configuration,,,,[],
Genesys Cloud: WEM - Supervisor AI for Quality Management,https://beyond.genesys.com/explore/course/genesys-cloud-wem-supervisor-ai-for-quality-management,"This course introduces AI Scoring in Genesys Cloud, a feature that automates interaction evaluations. In addition, it covers how to configure AI Scoring and provides insights about framing evaluation questions to get better results.",Elearning,5 mins,"['Genesys Cloud: Quality Management Basics', 'Genesys Cloud: Quality Management - Evaluating Interactions', 'Understand the purpose and functioning of AI Scoring.', 'Configure AI Scoring to automate evaluations.']",Supervisors; Managers
Genesys Cloud: WEM - Supervisor AI for Speech and Text Analytics,https://beyond.genesys.com/explore/course/genesys-cloud-wem-supervisor-ai-for-speech-and-text-analytics,"This course introduces Supervisor AI and the different Copilot features for Speech and Text Analytics. In addition, it also provides a high-level overview of the different features and how they augment the supervisory role.",Elearning,5 mins,"['Genesys Cloud: WEM - Speech and Text Analytics - Getting Started', 'Genesys Cloud: WEM - Speech and Text Analytics - Voice and Digital Transcriptions', 'Explain the role of Supervisor AI in contact center environments.', 'Identify and explain the core Copilot features of Supervisor AI.', 'Explain the benefits of the different Copilot features.']",Supervisors; Managers
Genesys Cloud: Introduction to CX as Code,https://beyond.genesys.com/explore/course/genesys-cloud-introduction-to-cx-as-code,"This course introduces you to CX as Code and provides the foundational knowledge of Infrastructure as Code. You will also learn the basics of Terraform and Terraform providers, common terminologies used, and the most frequently used commands. In addition, this course acquaints you with the best practices to follow.",Elearning,40 mins,"['Describe the purpose of CX as Code in the Genesys Cloud development ecosystem.', 'List the benefits of using CX as Code.', 'Explain the purpose of Terraform commands and terminologies used.', 'Install and set up Terraform for your Genesys Cloud organization.', 'Use the Genesys Cloud provider to perform basic operations.', 'Utilize the recommended best practices for CX as Code.', 'Introduction to CX as Code']",Developers
Genesys Cloud: Journey Management - Understanding Data Behind the Insights,https://beyond.genesys.com/explore/course/genesys-cloud-journey-management-understanding-data-behind-the-insights,"This course helps you understand the event data and data processes that power Genesys Cloud Journey Management. You will build your data literacy as you learn about how Journey Management counts customers and interactions to fully understand the scope of customer behavior across Genesys Cloud channels. In addition, this course discusses how to influence data quality across your organization to get the most out of Journey Management.",Elearning,20 mins,"['Describe the role of Genesys Cloud Journey Management in analyzing, monitoring, and orchestrating customer journeys to enhance experiences and improve business outcomes.', 'Explain how events and event attributes are captured in Genesys Cloud and how they are used to measure customer journeys.', 'Differentiate between event count and customer count and assess how identity resolution, contact merging, and external contacts work together to produce high-quality journey data.', 'Evaluate your role in data quality and influence key stakeholders to take action using External Contacts.', 'Why Should You Understand Journey Management Data?Journey Management Versus Single Customer ViewEvent MetadataEvent Count Versus Customer CountHow is Journey Management Data Processed?Improving Your Organization’s Data', 'Why Should You Understand Journey Management Data?', 'Journey Management Versus Single Customer View', 'Event Metadata']",Supervisors; Managers; Business Users; Analysts
Genesys Cloud: AI Solutions for Customer Engagement,https://beyond.genesys.com/explore/course/genesys-cloud-ai-solutions-for-customer-engagement,"This course provides an in-depth overview of the various Artificial Intelligence (AI) features of Genesys Cloud associated with customer engagement. You will learn the functionalities and benefits of AI-based customer engagement features such as Genesys Predictive Engagement, Genesys Predictive Routing, and Agent Copilot and how these features work together.",Elearning,15 mins,"['Describe Genesys Cloud AI and its various AI-powered customer engagement solutions.', 'Explain how Genesys Predictive Engagement personalizes customer engagements.', 'Explain Genesys Predictive Routing and its ability to route interactions to suitable agents.', 'Explain Genesys Agent Copilot and its capability to provide agents with the next-best action recommendations on customer intent.', 'Understand how AI-powered customer engagement solutions work together to enhance customer experiences.', 'Introduction to Genesys Cloud AI for Customer Engagement', 'Genesys Predictive Engagement']",Administrators; Business Users
Genesys Cloud: AI Solutions for Customer Self-Service,https://beyond.genesys.com/explore/course/genesys-cloud-ai-solutions-for-customer-self-service,"This course covers the Artificial Intelligence (AI)-powered tools and technologies in self-service solutions, including bot and virtual agent features, that help customers interact with your organization across various channels. You will also learn about the benefits of these AI features and how their adoption will help you grow your business.",Elearning,20 mins,"['Identify the AI features Genesys offers for customer self-service interactions and their impact on your business.', 'Describe how Genesys knowledge services AI helps customers resolve their queries with self-service solutions.', 'Explain how AI-dialog engine bot flows help enhance customer self-service through calls, chats, and message flows.', 'Describe how digital bot flows enhance the customer self-service experience through message flows.', 'Explain how Virtual Agent enhances both your voice and digital bot flows with conversational and generative AI capabilities.', 'Genesys Knowledge Services', 'Genesys Dialog Engine Bot Flows']",Administrators; Business Users
Genesys Cloud CX: WEM - Speech and Text Analytics - Sentiment Analysis,https://beyond.genesys.com/explore/course/genesys-cloud-cx-wem-speech-and-text-analytics-sentiment-analysis,"Genesys Cloud CX– Sentiment Analysis eLearning course covers concepts to understand customer’s attitudes (positive, negative, or neutral) to gain better insights into customer experience, which helps improve service delivery and agent performance.",Elearning,20 mins,"['Assists in understanding the benefits, basic concepts, and critical features of voice and digital interactions.', 'Helps to understand the customer’s sentiment by working with the features and analyzing statistics.', 'Provides steps on how to enable text analytics for digital interactions.', 'Understanding Sentiment Analysis', 'Key Features', 'Prerequisites', 'Working with Sentiment Analysis']",Administrators; Supervisors
Genesys Cloud: API - Introduction to the Platform API,https://beyond.genesys.com/explore/course/genesys-cloud-api-introduction-to-the-platform-api,"Genesys Cloud: API - Introduction to the Platform API eLearning provides an overview to the basic set of resources and processes related to Genesys Cloud API endpoints. The eLearning course walks users through an introduction of what APIs are, exploring how APIs help control various aspects of the Genesys Cloud environment. Examples include access to the system configuration, management of conversations, and many more evolving possibilities.",Elearning,15 mins,"['Introduction', 'APIs in Genesys Cloud', 'Authorization', 'Regions in Genesys Cloud']",Developers
Genesys Cloud: Contact Center Administrator - Data and Analytics,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-data-and-analytics,"Genesys Cloud: Contact Center Administrator- Data and Analytics eLearning provides an overview into the basics of data and analytics in Genesys Cloud Contact Center. The following eLearning module demonstrates how monitoring performance for interactions, agents, and queues can drive improvement within your call center. Topics in this eLearning include: Overview of performance dashboards, accessing current and historical data references for queue, agent and interaction views, and how to use reports in Genesys Cloud.",Elearning,15 mins,"['Introduction to performance dashboards, quality evaluations, and the agent performance view', 'Queue Views', 'Agents View', 'Interaction View', 'Reports Overview']",System Administrators; Administrators
Genesys Cloud CX: Coaching - Usage for Supervisors,https://beyond.genesys.com/explore/course/genesys-cloud-cx-coaching-usage-for-supervisors,"The Genesys Cloud CX: Coaching – Usage for Supervisors course explains the importance of coaching and the steps to schedule coaching appointments with agents. You will learn how to edit an existing appointment, add notes, and change the status of an appointment. In addition, you will learn how to add an interaction to an existing coaching appointment.",Elearning,10 mins,"['Schedule coaching appointments with your agents.', 'View and edit existing coaching appointments.', 'Add notes to coaching appointments.', 'Change the statuses of coaching appointments.', 'Add interactions to existing coaching appointments.', 'The following modules are covered in this eLearning course:Scheduling a Coaching AppointmentViewing and Editing a Coaching AppointmentAdding Notes to Coaching AppointmentsViewing Coaching Appointment StatusAdding an Interaction to an Existing Coaching Appointment', 'Scheduling a Coaching Appointment', 'Viewing and Editing a Coaching Appointment']",Supervisors; Managers
Genesys Cloud: Coaching - Usage for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-coaching-usage-for-agents,The Genesys Cloud CX: Coaching – Usage for Agents course helps you work with coaching appointments. You will learn to view details of your coaching appointments and add notes to them.,Elearning,5 mins,"['View a Coaching Appointment', 'Add notes to Coaching Appointments', 'Viewing a Coaching Appointment', 'Adding Notes to Coaching Appointments']",Agents
Genesys Cloud: Coaching - Overview,https://beyond.genesys.com/explore/course/genesys-cloud-coaching-overview,The Genesys Cloud: Coaching – Overview course provides a brief introduction to coaching. You will learn the importance of coaching in your contact center. You also will learn the basic features of coaching in Genesys Cloud.,Elearning,5 mins,"['Explain the importance of coaching.', 'Describe the basic concepts of Genesys Cloud CX Coaching.', 'The following modules are covered in this eLearning course: Importance of CoachingBasic Concept of Genesys Cloud CX Coaching', 'Importance of Coaching', 'Basic Concept of Genesys Cloud CX Coaching']",Supervisors
Genesys Cloud - QM Web Survey,https://beyond.genesys.com/explore/course/genesys-cloud-qm-web-survey,"As a supervisor or contact center manager, focusing on customer satisfaction after a service interaction or business transaction is key. The Genesys Cloud QM Web Survey eLearning course covers concepts to create and use web surveys to gain vital information about the effectiveness of your service and customers’ experience during an interaction.",Elearning,35 mins,['The following modules are covered in this eLearning course: · Genesys Cloud QM Web Survey Overview · Genesys Cloud QM Web Survey Usage'],Administrators
Genesys Cloud: Agentless Voice Notifications,https://beyond.genesys.com/explore/course/genesys-cloud-agentless-voice-notifications,"This course covers usage of the Agentless Dialing Mode in Genesys Cloud. There are many things that customers call into call centers for, and not all of them need a live agent on the other line. Agentless dialing can be a very flexible system that will increase the efficiency of your call center. The course also covers how to collect troubleshooting logs for Customer Care and case study references.",Elearning,10 mins,"['Agentless voice overview', 'How-to for collection of logs', 'Case studies', 'Additional links and article references']",Developers; System Administrators; Administrators
Genesys Cloud Integrations: Data Actions,https://beyond.genesys.com/explore/course/genesys-cloud-integrations-data-actions,"Data action integrations available in Genesys Cloud provides the ability to connect and access data from different systems. The following eLearning explores the key concepts of data actions integration and lists the various data action integration offerings in Genesys Cloud. The eLearning sequence will walk administrators through the setup of the Genesys Cloud™ data actions integration for usage with Genesys Architect, managing data actions, and lastly, troubleshooting suggestions.",Elearning,25 mins,"['Introduction of Data Actions', 'Data Actions Integration Setup', 'Troubleshooting', 'Course Review and Resources']",Developers; Business Users
Genesys Cloud: Contact Center Administrator - Data Actions,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-data-actions,"Genesys Cloud: Contact Center Administrator - Data Actions eLearning provides an overview of data action integrations and explains how it allows users to access the Genesys Cloud Platform API. In addition, the course explores the use of data actions to make routing decision enhancements within Genesys Cloud Architect. Furthermore, the course demonstrates how data actions are used to present information within scripts.",Elearning,5 mins,['Data Actions'],System Administrators; Administrators
Genesys Cloud: Contact Center Administrator - Outbound Dialing,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-outbound-dialing,"Genesys Cloud: Contact Center Administrator – Outbound Dialing eLearning provides an overview into the basics of outbound dialing campaigns in Genesys Cloud Contact Center. The following eLearning module will walk through setting up a campaign and taking a closer look into the advanced features of campaigns. Topics in this eLearning include dialing modes, call analysis response, contact lists, DNC lists, call rule sets, callable time sets, campaign rules/sequencing/schedules/dashboard, and wrap up code mapping.",Elearning,15 mins,"['Setting up a campaign', 'Advanced Campaign Features']",System Administrators; Administrators
Genesys Cloud Integrations: Embedded Clients,https://beyond.genesys.com/explore/course/genesys-cloud-integrations-embedded-clients,"Genesys Cloud embedded clients are instances of the Genesys Cloud’s contact center service running inside third-party systems or as browser extensions. Genesys Cloud Embeddable Framework allows for custom development of Genesys Cloud contact services for integration within a customer’s own systems and tools. The following eLearning will explore embedded clients as browser extensions for Google Chrome and Firefox, third-party integrations within Salesforce and Zendesk, and Genesys Embedded Framework concepts.",Elearning,40 mins,"['Browser Extensions', 'Third-Party Systems', 'Embeddable Framework', 'Module Review', 'Troubleshooting/Tips', 'Additional Links and Articles']",Developers; Business Users
Genesys Cloud Integrations: Custom Client Applications,https://beyond.genesys.com/explore/course/genesys-cloud-integrations-custom-client-applications,"Genesys Cloud offers the ability for custom client applications to be installed. Custom client applications are third-party applications that are not available in AppFoundry. The following eLearning will navigate users through the following learning objectives: custom applications as standalone applications, custom applications as widgets, and maintenance of installed custom client applications.",Elearning,10 mins,"['Custom Client Application Overview', 'Custom Application as a Standalone Application', 'Custom Application as a Widget', 'Custom Client Application Maintenance', 'Module Review', 'Additional Links and Articles']",Developers; Business Users
Genesys Cloud Integrations: AppFoundry,https://beyond.genesys.com/explore/course/genesys-cloud-integrations-appfoundry,"This course offers insights into Genesys Cloud AppFoundry. You will learn how to access AppFoundry and the different types of applications available there. In addition, you will learn about the different categories of applications, integrations, and solutions in AppFoundry aimed at improving customer experience.",Elearning,20 mins,"['Understand the role of AppFoundry within the Genesys Cloud ecosystem.', 'Access and navigate Genesys Cloud AppFoundry.', 'Identify the different types of AppFoundry applications.', 'List out the best practices to follow while using AppFoundry.', 'Introduction to AppFoundry', 'Accessing AppFoundry', 'Types of Applications in AppFoundry']",Developers; System Administrators; Administrators
Genesys Cloud Integrations: Integration Features,https://beyond.genesys.com/explore/course/genesys-cloud-integrations-integration-features,"Genesys Cloud enables your contact center to seamlessly integrate with existing systems. Many businesses use multiple tools and systems to serve a wide variety of business functions. Integrations within Genesys Cloud help your business synchronize and access up-to-date data, bring external data systems into Genesys Cloud, access public APIs for customized solutions, and access a wide range of click-to-install integrations in Genesys AppFoundry. This eLearning course introduces the following concepts related to Genesys Cloud Integration features AppFoundry, OAuth, Bots, Collaboration, Custom Client Applications, Data Actions, Embedded Clients, External Contacts, Identify Management, Single Sign-On, Text-to-Speech, Quality Management, and Webhooks (Chat Integrations).",Elearning,65 mins,"['Introduction', 'Integration Features', 'AppFoundry', 'Collaboration', 'Custom Client Applications']",Developers; Business Users
Genesys Cloud CX: WEM - Adding your Schedule to External Calendars,https://beyond.genesys.com/explore/course/genesys-cloud-cx-wem-adding-your-schedule-to-external-calendars,Genesys Cloud CX: WEM - Adding your schedule to External Calendars covers information on how agents can add their schedules to an external calendar using Genesys Cloud Workforce Management.,Elearning,10 mins,"['Explain how agents can add their schedules to an external calendar.', 'Explain how agents can synchronize their workforce management schedule to an external calendar.', 'Generate Calendar Link', 'Add Schedule to External Calendars']",Agents
Genesys Cloud: WEM - Shift Trades for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-wem-shift-trades-for-agents,"This course introduces you to the basic concepts of managing shift trades using the My Trades panel in Genesys Cloud. You will also learn how to post a trade request for any available agent, request a shift trade with a specific colleague, or initiate a shift trade with the system—giving you the flexibility to manage your schedule even when other agents are unavailable. In addition, this course equips you with the knowledge to accept incoming trade requests, drop a shift, pick up extra shifts, and stay on top of shift trade activity through system notifications.",Elearning,20 mins,"['Navigate the shift trades (My Trades) panel.', 'Post a shift trade request for any available agent to swap shifts.', 'Request shift trade with a specific agent.', 'Initiate a shift trade with the system.', 'Accept a shift trade request.', 'Drop a shift.', 'Pick up an extra shift.', 'View shift trade notifications.']",Agents
Genesys Cloud CX: WEM - Schedules for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-wem-schedules-for-agents,Genesys Cloud CX: WEM – Schedules for Agents course covers concepts to provide an agent information on how to navigate to their schedules and change date filters using Genesys Cloud Workforce Management.,Elearning,5 mins,"['Describe how agents can access their schedules from My Performance Views.', 'Show agents an example of their schedules.', 'Describe how agents can see the most up-to-date schedule information by clicking on Refresh icon on the top right of the schedule view.', 'Demonstrate how to use the date filter to customize analytics views.', 'Demonstrate how to use presets to filter metrics by date and custom date range to filter metrics.', 'Describe how agents can see out of adherence notification.', 'Work with my Schedule']",Agents
Genesys Cloud: Web Messaging,https://beyond.genesys.com/explore/course/genesys-cloud-web-messaging,"Genesys Cloud: Web Messaging eLearning provides an overview into what features come with this digital channel offer for Genesys Cloud users. Web Messaging offers the opportunity to track the entire customer journey to aid in delivering a better customer experience through persistent, asynchronous conversations. The following eLearning walks users through an introduction into Web Messaging, the Messenger configuration, and lastly the Messenger Deployment process.",Elearning,20 mins,"['Introduction to Web Messaging', 'Messenger Configuration', 'Messenger Deployment']",
Genesys Cloud: Voice Additional Features for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-voice-additional-features-for-agents,"The Genesys Cloud Voice Additional Features course introduces you to advanced call-handling features in Genesys Cloud. You will learn how to use secure pause and how secure flow transfer works in Genesys Cloud. In addition, this course explains the difference between blind and consult transfers, as well as how conference calls work in Genesys Cloud. You'll also learn how to handle group calls, view call history, and forward calls.",Elearning,15 mins,"['Use secure pause during a call.', 'Transfer calls to secure flow.', 'Perform blind and consult transfers.', 'Make conference calls.', 'Use additional features such as call forwarding, call history, and group calls.', 'Using Secure Pause', 'Transferring Calls to Secure Flow']",Agents
Genesys Cloud CX: Email for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-email-for-agents,"This course introduces you to Genesys Cloud CX email interactions. You will learn how to accept email interactions, respond to emails, transfer or disconnect emails, and view email interaction history within Genesys Cloud CX.",Elearning,20 mins,"['Accept an ACD email message', 'View and link a contact’s profile', 'View email interaction history', 'Reply to an email message', 'Blind transfer or disconnect an email message', 'Accept an ACD Email Message', 'View and Link a Contact’s Profile']",Agents
Genesys Cloud: Cloud Media Services - Telephony Connection Options,https://beyond.genesys.com/explore/course/genesys-cloud-cloud-media-services-telephony-connection-options,"Genesys Cloud: Cloud Media Services – Telephony Connection Options eLearning provides an overview of the different telephony solutions available for Genesys Cloud. Learners will explore the essential features of Genesys Cloud Voice, Bring Your Own Carrier (BYOC) Cloud, and lastly, BYOC Premise. Upon completion of this course, users will have a better understanding of how to use the telephony options separately or in combination to cater to the telecommunication needs of the customer.",Elearning,20 mins,"['Telephony Options', 'Telephony Options Detailed']",System Administrators; Administrators
Genesys Cloud CX: Campaign Tasks for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-campaign-tasks-for-agents,"An outbound campaign enables your company to contact potential customers and achieve your business goals. This course introduces you to the basic concepts of an outbound campaign and its functionalities, such as dialing modes and callback features, from an agent's point of view. You will also learn how to handle outbound calls and perform various tasks based on your privileges. In addition, this course equips you with the knowledge to handle Do Not Contact (DNC) customers.",Elearning,20 mins,"['Explain the basics of outbound campaigns, including the use of agent scripts.', 'Differentiate between the various dialing modes used in outbound campaigns.', 'Determine how to schedule and handle callbacks in Genesys Cloud.', 'Discuss the steps to add customers to the DNC list.', 'Getting Started with Genesys Outbound Campaign', 'Outbound Campaign Dialing Modes', 'Outbound Campaign Features']",Agents
Genesys Cloud: Edge - Networking,https://beyond.genesys.com/explore/course/genesys-cloud-edge-networking,"Genesys Cloud: Edge – Networking eLearning provides an overview of network requirements that are critical for Genesys Cloud Edge devices to work correctly. As System Administrators, you will learn the following aspects regarding network considerations: Requirements and considerations for Edges, best practices for local Edge connectivity, firewall, DMZ, ports, bandwidth, latency, Jitter, Packet Loss, and lastly, QoS.",Elearning,25 mins,"['Requirements and Considerations', 'Best Practices for Edge Local Connectivity', 'Firewall, DMZ, and Ports', 'Bandwidth, Latency, Jitter, Packet Loss, and QoS']",Developers; System Administrators; Administrators
Genesys Cloud: Edge - BYOC Premise Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-edge-byoc-premise-configuration,"BYOC Premise Configuration eLearning provides an overview of basic telephony objects involved in the configuration process of Genesys Cloud Edge devices. As System Administrators, you will learn the following aspects of the configuration process: Step-by-step configuration details of the Genesys Cloud Edge standard v3, creating and assigning DID and extension numbers, managing the default number plans and outbound routes, and lastly, the configuration overview of managed and unmanaged phones.",Elearning,45 mins,"['BYOC Premise Configuration Concepts', 'BYOC Premise Configuration: Step by Step Process', 'Call Management', 'Phone Management']",Developers; System Administrators; Administrators
Genesys Cloud: Edge - How It Works,https://beyond.genesys.com/explore/course/genesys-cloud-edge-how-it-works,"Genesys Cloud: Edge – How it Works eLearning provides an overview into telephony objects and how they work together to provide effective communication with the Genesys Cloud Edge devices. As System Administrators, you will learn the basic objects necessary for telephony configuration and their relationship to each other. External SIP Proxy usage is also explored if requirement is needed between the Edge and SIP provider.",Elearning,15 mins,"['Telephony Concepts', 'When to use an External SIP Proxy']",Developers; System Administrators; Administrators
Genesys Cloud: Edge - WebRTC,https://beyond.genesys.com/explore/course/genesys-cloud-edge-webrtc,"Genesys Cloud: Edge - WebRTC eLearning explores introductory concepts related to Genesys Cloud’s usage of the Web Real-Time Communication (WebRTC) protocol. Genesys Cloud WebRTC phones use WebRTC technology via web browser to replace the need for physical phones. The following objectives are covered in detail: Overview of How WebRTC works, WebRTC workflows within Genesys Cloud, Network Address Translation (NAT) options, and lastly setup of WebRTC in Genesys Cloud Voice, BYOC Cloud and Premises options.",Elearning,20 mins,"['How WebRTC Works', 'WebRTC Workflow', 'NAT Configuration Options', 'WebRTC Setup']",Developers; System Administrators; Administrators
Introduction to Genesys Cloud for Supervisors: Essentials,https://beyond.genesys.com/explore/course/introduction-to-genesys-cloud-for-supervisors-essentials,This course introduces you to the essential settings and configurations for managing agents and queues and enabling your contact center to handle incoming interactions effectively.,Elearning,20 mins,"['Identify the essential settings and configurations in Genesys Cloud for handling incoming interactions effectively.', 'Explain automatic call distribution (ACD).', 'Create ACD skills and languages.', 'Configure agent utilizations.', 'Create and configure queues.', 'Describe how interactions flow into queues.', 'Create and assign canned responses to queues.', 'Create and assign wrap-up codes to queues.', 'Explain after-contact work (ACW) and its configuration options.']",Supervisors
Genesys Cloud Telephony,https://beyond.genesys.com/explore/course/genesys-cloud-telephony,Stand up your organization quickly by learning basic system set-up requirements for telephony.,Elearning,15 mins,"['Accessing Genesys Cloud', 'Adding agents and assigning roles/permissions', 'Queue configuration for ACW and wrap-up codes', 'Evaluation and routing methods', 'Agent utilization', 'Telephony services and WebRTC', 'Describe the Genesys Cloud CX platform and its components.', 'Navigate through admin and agent user interface.', 'Add agents to your contact center and manage their profiles, groups, roles and permissions.']",Developers; System Administrators; Administrators; Supervisors
Genesys Cloud Routing,https://beyond.genesys.com/explore/course/genesys-cloud-routing,This course introduces you to the basic concepts of Automatic Call Distribution (ACD). You'll also learn how the inbound call and email flows work.,Elearning,5 mins,"['Explain the basic concepts associated with ACD configuration', 'Work with inbound call flows and callbacks', 'Work with inbound email flows', 'Course Overview', 'Basic ACD Concepts including Evaluation and Routing Methods', 'Overview of Inbound Call Flow and Callback', 'Overview of Inbound Email Flow']",Administrators; Business Users
Genesys Cloud: Voice Essentials for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-voice-essentials-for-agents,"The Genesys Cloud: Voice Essentials for Agents course helps you understand the essential call-handling tasks in Genesys Cloud. You will learn basic call functions such as answering incoming calls, using scripts, and performing after-call work. Additionally, you will learn how to initiate calls and handle callbacks in Genesys Cloud.",Elearning,15 mins,"['Handle incoming calls using various call handling features.', 'Initiate non-ACD and ACD calls.', 'Handle callbacks.', 'Answering Incoming Calls', 'Understanding Mute and Hold Functions', 'Performing After Call Work', 'Making Calls']",Agents
